n, v0, v1
1, 1.6596666666666666, 1.5603333333333333
2, 1.625333333333333, 1.2896666666666665
3, 1.4286666666666665, 1.1369999999999998
4, 1.4246666666666667, 1.024
5, 1.5103333333333333, 0.8493333333333334
6, 1.511, 0.803
7, 1.5359999999999998, 0.7066666666666666
8, 1.5036666666666667, 0.676
9, 1.5543333333333333, 0.6436666666666667
10, 1.5536666666666665, 0.6226666666666667
11, 1.5513333333333332, 0.6076666666666667
12, 1.569, 0.603
13, 1.5006666666666666, 0.5933333333333333
14, 1.3490000000000002, 0.5833333333333334
15, 1.214, 0.568
16, 1.009, 0.5443333333333333
17, 0.7593333333333333, 0.5313333333333334
18, 0.632, 0.51
19, 0.5363333333333333, 0.4963333333333333
20, 0.48133333333333334, 0.48500000000000004
21, 0.345, 0.437
22, 0.21, 0.36866666666666664
23, 0.166, 0.3273333333333333
24, 0.1376666666666667, 0.302
