n, v0, v1, v2, v3
16, 0.000020, 0.000021, 0.000020, 0.000019
32, 0.000031, 0.000030, 0.000030, 0.000025
64, 0.000151, 0.000149, 0.000220, 0.000216
128, 0.001621, 0.001893, 0.005928, 0.001000
256, 0.025390, 0.010557, 0.075938, 0.009123
512, 0.221603, 0.094223, 0.653273, 0.101172
1024, 3.173264, 0.834762, 8.448609, 0.606807
2048, 61.183181, 6.606237, 125.863337, 5.640394
