n Bubble-Sort STL-sort
1 0.001165 0.000406
11 0.002308 0.001348
21 0.005555 0.002627
31 0.010086 0.003722
41 0.013997 0.005345
51 0.024113 0.006989
61 0.038886 0.009058
71 0.046123 0.010476
81 0.060606 0.012301
91 0.069785 0.013844
101 0.078719 0.016052
111 0.10311 0.01756
121 0.131872 0.018876
131 0.163337 0.023351
141 0.198976 0.025849
151 0.222171 0.026899
161 0.254978 0.029323
171 0.293405 0.031173
181 0.391404 0.038074
191 0.396586 0.040653
201 0.468552 0.042686
211 0.477878 0.044517
221 0.572797 0.054203
231 0.729364 0.055006
241 0.733287 0.059791
251 0.822639 0.060828
261 1.05011 0.072789
271 1.14234 0.075632
281 1.18964 0.081754
291 1.55158 0.097229
301 1.61839 0.115742
311 2.08687 0.136747
321 2.12997 0.140396
331 2.36414 0.144053
341 3.39025 0.161672
351 2.6599 0.197
361 3.50681 0.200943
371 4.03234 0.233205
381 4.52864 0.2416
391 4.75068 0.251612
401 5.03107 0.251287
411 5.1802 0.264108
421 5.42751 0.269453
431 5.84357 0.275005
441 6.03475 0.282695
451 6.33604 0.295998
461 6.69668 0.301373
471 6.99064 0.306432
481 7.33035 0.311471
491 7.68652 0.318186
501 7.8806 0.337998
511 6.1575 0.236017
521 4.7001 0.178947
531 4.25023 0.147961
541 3.6972 0.154363
551 3.42637 0.131608
561 3.46418 0.134339
571 3.12537 0.115891
581 3.21062 0.119173
591 2.88317 0.110107
601 2.96444 0.110432
611 2.7132 0.100199
621 2.79963 0.104239
631 2.92127 0.096052
641 2.88231 0.096404
651 2.96799 0.099657
661 3.17548 0.100969
671 3.15885 0.103077
681 3.30551 0.102659
691 3.38415 0.104873
701 3.38427 0.107519
711 3.51737 0.108399
721 3.72274 0.110689
731 3.70231 0.112029
741 3.96195 0.1136
751 4.01428 0.117533
761 4.13556 0.118547
771 4.24859 0.118716
781 4.45341 0.119721
791 4.49224 0.124378
801 4.63387 0.125214
811 4.65086 0.123825
821 4.77815 0.129686
831 4.8579 0.129717
841 5.06187 0.132969
851 5.46249 0.133916
861 5.47377 0.136433
871 5.61385 0.135683
881 5.55504 0.138456
891 5.75038 0.141277
901 6.08289 0.141412
911 5.91098 0.144885
921 6.15943 0.170106
931 6.22852 0.148225
941 6.57413 0.147682
951 6.45961 0.152565
961 6.76099 0.152342
971 7.25186 0.16559
981 7.67312 0.171412
991 7.72297 0.172281
1001 7.97401 0.17214
