n, v0, v1
3472, 0.052206, 0.014284
3488, 0.053547, 0.014194
3504, 0.053218, 0.014282
3520, 0.053729, 0.015047
3536, 0.054372, 0.014767
3552, 0.055477, 0.015613
3568, 0.054973, 0.014959
3584, 0.093480, 0.020456
3600, 0.056725, 0.014696
3616, 0.058616, 0.015218
3632, 0.058472, 0.015676
3648, 0.058035, 0.015881
3664, 0.058628, 0.015399
3680, 0.061310, 0.016127
3696, 0.060113, 0.015947
3712, 0.063716, 0.018478
3728, 0.061372, 0.016614
3744, 0.062952, 0.016431
3760, 0.062042, 0.015976
3776, 0.062684, 0.016714
3792, 0.064054, 0.016378
3808, 0.065428, 0.016957
3824, 0.064651, 0.016746
3840, 0.067210, 0.021325
3856, 0.066196, 0.017352
3872, 0.068876, 0.018233
3888, 0.068146, 0.017379
3904, 0.067451, 0.018029
3920, 0.069307, 0.017683
3936, 0.071513, 0.018432
3952, 0.071363, 0.019172
3968, 0.073570, 0.021890
3984, 0.071965, 0.018468
4000, 0.073347, 0.019147
4016, 0.072846, 0.018692
4032, 0.073452, 0.020397
4048, 0.074842, 0.019484
4064, 0.076281, 0.019685
4080, 0.075851, 0.020658
4096, 0.224740, 0.032218
4112, 0.079593, 0.020219
4128, 0.077699, 0.021152
4144, 0.078468, 0.020862
4160, 0.078426, 0.020746
4176, 0.080815, 0.020000
4192, 0.082564, 0.020932
4208, 0.080977, 0.020591
4224, 0.087145, 0.025343
4240, 0.083432, 0.021438
4256, 0.085190, 0.022094
4272, 0.084326, 0.021660
4288, 0.084740, 0.022195
4304, 0.086357, 0.021053
4320, 0.088461, 0.022319
4336, 0.087542, 0.021873
4352, 0.101674, 0.028909
4368, 0.088791, 0.022783
4384, 0.091637, 0.022843
4400, 0.090752, 0.022623
4416, 0.090103, 0.023154
4432, 0.092278, 0.022977
4448, 0.094284, 0.023584
4464, 0.093756, 0.025037
4480, 0.093678, 0.028977
4496, 0.095000, 0.023765
4512, 0.098044, 0.024088
4528, 0.097113, 0.024806
4544, 0.096080, 0.024992
4560, 0.098527, 0.024027
4576, 0.100811, 0.026780
4592, 0.100872, 0.024718
4608, 0.184356, 0.037497
4624, 0.101865, 0.024609
4640, 0.104668, 0.026496
4656, 0.104157, 0.025103
4672, 0.102960, 0.026825
4688, 0.105147, 0.025415
4704, 0.107591, 0.027055
4720, 0.107106, 0.025803
4736, 0.113391, 0.032323
4752, 0.108805, 0.026919
4768, 0.111901, 0.027253
4784, 0.110477, 0.027878
4800, 0.109424, 0.029285
4816, 0.111811, 0.027476
4832, 0.114829, 0.027987
4848, 0.114621, 0.027374
4864, 0.149553, 0.035513
4880, 0.116885, 0.027718
4896, 0.118217, 0.029290
4912, 0.117860, 0.028135
4928, 0.116625, 0.031494
4944, 0.118396, 0.029649
4960, 0.122218, 0.030965
4976, 0.121416, 0.030830
4992, 0.133688, 0.035416
5008, 0.122900, 0.029878
5024, 0.126225, 0.030327
5040, 0.125371, 0.029768
5056, 0.125727, 0.031282
5072, 0.127040, 0.030572
5088, 0.130293, 0.031671
5104, 0.128376, 0.031613
5120, 0.327887, 0.051495
5136, 0.130871, 0.030963
5152, 0.138212, 0.034017
5168, 0.133094, 0.032181
5184, 0.133832, 0.032673
5200, 0.134653, 0.032688
5216, 0.138279, 0.033342
5232, 0.137120, 0.032419
5248, 0.140215, 0.040513
5264, 0.141196, 0.033537
5280, 0.142035, 0.034097
5296, 0.141358, 0.033970
5312, 0.140301, 0.034517
5328, 0.143303, 0.034538
5344, 0.145602, 0.036896
5360, 0.145553, 0.034241
5376, 0.198929, 0.046133
5392, 0.145519, 0.035104
5408, 0.150366, 0.036835
5424, 0.148302, 0.036057
5440, 0.150394, 0.038405
5456, 0.151080, 0.037642
5472, 0.157162, 0.038872
5488, 0.152792, 0.037336
5504, 0.158911, 0.045374
5520, 0.156158, 0.037808
5536, 0.159347, 0.039207
5552, 0.157679, 0.037813
5568, 0.157489, 0.039227
5584, 0.160398, 0.038377
5600, 0.163462, 0.039292
5616, 0.162847, 0.037518
5632, 0.352001, 0.057820
5648, 0.164922, 0.037729
5664, 0.168287, 0.040516
5680, 0.166876, 0.039120
5696, 0.167314, 0.040447
5712, 0.168583, 0.039897
5728, 0.171874, 0.041039
5744, 0.170877, 0.038967
5760, 0.182891, 0.050394
5776, 0.171841, 0.039618
5792, 0.176579, 0.042006
5808, 0.175616, 0.040243
5824, 0.178086, 0.043426
5840, 0.180052, 0.041055
5856, 0.181280, 0.044820
5872, 0.179836, 0.042577
5888, 0.264971, 0.056794
5904, 0.181957, 0.043342
5920, 0.184911, 0.043045
5936, 0.184346, 0.042902
5952, 0.184840, 0.046175
5968, 0.190153, 0.045139
5984, 0.192791, 0.045400
6000, 0.190654, 0.044751
6016, 0.198560, 0.054863
6032, 0.191954, 0.044631
6048, 0.194950, 0.046712
6064, 0.194128, 0.044953
6080, 0.197422, 0.046225
6096, 0.197651, 0.044271
6112, 0.200257, 0.047502
6128, 0.201632, 0.046639
6144, 0.531147, 0.076386
6160, 0.202435, 0.047188
6176, 0.205712, 0.047864
6192, 0.205545, 0.046675
6208, 0.207300, 0.048994
6224, 0.206151, 0.046624
6240, 0.210865, 0.049851
6256, 0.208806, 0.047243
6272, 0.225243, 0.060269
6288, 0.211368, 0.050464
6304, 0.216569, 0.049559
6320, 0.214800, 0.049001
6336, 0.219116, 0.051023
6352, 0.219689, 0.048753
6368, 0.224060, 0.052067
6384, 0.221800, 0.051111
6400, 0.335451, 0.068081
6416, 0.222833, 0.050375
6432, 0.227354, 0.053437
6448, 0.226774, 0.051976
6464, 0.228999, 0.053232
6480, 0.228695, 0.052027
6496, 0.231988, 0.054623
6512, 0.230692, 0.053055
6528, 0.253531, 0.064720
6544, 0.234391, 0.054386
6560, 0.237951, 0.056838
6576, 0.236292, 0.053928
6592, 0.241768, 0.055649
6608, 0.239121, 0.054159
6624, 0.244637, 0.056413
6640, 0.241503, 0.053561
6656, 0.549200, 0.081693
6672, 0.246358, 0.055427
6688, 0.248958, 0.057658
6704, 0.247431, 0.055656
6720, 0.250003, 0.057542
6736, 0.250992, 0.055960
6752, 0.256830, 0.057835
6768, 0.254492, 0.057741
6784, 0.288602, 0.069826
6800, 0.257807, 0.057322
6816, 0.262630, 0.059756
6832, 0.259443, 0.057591
6848, 0.266399, 0.061386
6864, 0.262424, 0.058761
6880, 0.267805, 0.060666
6896, 0.266002, 0.059739
6912, 0.396903, 0.082027
6928, 0.268696, 0.060508
6944, 0.274726, 0.062711
6960, 0.271662, 0.060448
6976, 0.279490, 0.062768
6992, 0.276777, 0.060939
7008, 0.280231, 0.064664
7024, 0.279093, 0.061606
7040, 0.313656, 0.076955
7056, 0.280772, 0.063531
7072, 0.286924, 0.065493
7088, 0.285194, 0.062911
7104, 0.292026, 0.065152
7120, 0.291823, 0.069245
7136, 0.294188, 0.067056
7152, 0.290337, 0.063543
7168, 0.698213, 0.100020
7184, 0.293854, 0.065133
7200, 0.300299, 0.067664
7216, 0.298296, 0.065827
7232, 0.305834, 0.067943
7248, 0.302534, 0.065323
7264, 0.307884, 0.068007
7280, 0.303478, 0.066920
7296, 0.346907, 0.082576
7312, 0.308581, 0.067777
7328, 0.311495, 0.069708
7344, 0.309254, 0.067026
7360, 0.316997, 0.071072
7376, 0.313470, 0.068789
