-50; -0.0801727; -0.335551
-49.9; -0.0658114; -0.178828
-49.8; -0.0212619; -0.0339315
-49.7; 0.0504358; 0.0907638
-49.6; 0.142138; 0.187983
-49.5; 0.244021; 0.254257
-49.4; 0.346598; 0.290665
-49.3; 0.443199; 0.301105
-49.2; 0.530194; 0.289486
-49.1; 0.605034; 0.258037
-49; 0.663898; 0.207983
-48.9; 0.701018; 0.141937
-48.8; 0.710392; 0.0659435
-48.7; 0.68868; -0.0106385
-48.6; 0.637088; -0.0775489
-48.5; 0.5608; -0.126674
-48.4; 0.4664; -0.153562
-48.3; 0.359261; -0.156459
-48.2; 0.24286; -0.133833
-48.1; 0.12041; -0.0825528
-48; -0.00267271; 0.00168748
-47.9; -0.117623; 0.121918
-47.8; -0.213655; 0.277274
-47.7; -0.280953; 0.462267
-47.6; -0.313216; 0.668539
-47.5; -0.307977; 0.887809
-47.4; -0.264659; 1.1138
-47.3; -0.182099; 1.34181
-47.2; -0.0576202; 1.56643
-47.1; 0.111481; 1.77948
-47; 0.325176; 1.97007
-46.9; 0.578837; 2.12684
-46.8; 0.863773; 2.24106
-46.7; 1.16986; 2.30827
-46.6; 1.48828; 2.32731
-46.5; 1.81247; 2.29788
-46.4; 2.13663; 2.2185
-46.3; 2.45328; 2.08671
-46.2; 2.75202; 1.90137
-46.1; 3.02076; 1.66521
-46; 3.24859; 1.38563
-45.9; 3.42843; 1.07299
-45.8; 3.55741; 0.737595
-45.7; 3.63501; 0.387616
-45.6; 3.66044; 0.0293434
-45.5; 3.63152; -0.330623
-45.4; 3.54604; -0.68325
-45.3; 3.40435; -1.01692
-45.2; 3.21132; -1.31963
-45.1; 2.97593; -1.58204
-45; 2.70861; -1.79915
-44.9; 2.41844; -1.96952
-44.8; 2.11213; -2.09269
-44.7; 1.79529; -2.16711
-44.6; 1.47496; -2.19008
-44.5; 1.16096; -2.15996
-44.4; 0.864872; -2.0787
-44.3; 0.59721; -1.95278
-44.2; 0.364797; -1.79159
-44.1; 0.170243; -1.60442
